length,breadth,depth,ship_type,filler_metal,electricity_consumption
82.052,15.2,5.5,1,6.498,50141.341
82.565,16,5.5,1,6.656,51356.117
82.921,18,6,1,7.033,54266.98
87,18,6.2,1,7.927,61163.284
86.2,18.2,6.1,2,9.303,71787.033
87,18,6.2,4,12.304,94938.426
59,12.1,5.1,4,5.861,45224.563
58.6,12,4.9,4,5.831,44993.077
87.6,16,5.3,2,9.58,73925.413
85.4,15.6,5.2,2,9.084,70096.839
84.3,15.4,5.1,1,6.694,51655.09
81.76,15,5,1,6.128,47286.795
78.5,14.4,4.8,4,9.562,73782.744
74.22,12.5,3.5,3,6.795,52436.378
71.46,13,3.8,3,6.415,49501.649
69.56,12.7,4.2,2,5.3,40901.674
67.46,12.3,4.1,2,6.929,53466.101
65,11.5,3.8,1,3.079,23757.872
45,10.5,3.3,3,1.892,14598.327
55.6,10,3.8,3,3.8343,29587.4303
